"State_FIPS","State_Name","CPUMA0010","PUMA","GEOID","GISJOIN","PUMA_Name"
"1","Alabama","1","100","100100","G01000100","Lauderdale, Colbert, Franklin & Marion (Northeast) Counties"
"1","Alabama","1","800","100800","G01000800","St. Clair & Blount Counties"
"1","Alabama","1","1400","101400","G01001400","Walker, Marion (South & West), Fayette & Lamar Counties"
"1","Alabama","1","1500","101500","G01001500","Tuscaloosa (Outer) & Pickens Counties--Northport City (North & West)"
"1","Alabama","1","1600","101600","G01001600","Tuscaloosa & Northport (Southeast) Cities"
"1","Alabama","1","1700","101700","G01001700","Dallas, Bibb, Marengo, Hale, Sumter, Perry & Greene Counties"
"1","Alabama","2","200","100200","G01000200","Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest)"
"1","Alabama","2","301","100301","G01000301","Huntsville (North) & Madison (East) Cities"
"1","Alabama","2","302","100302","G01000302","Huntsville City (Central & South)"
"1","Alabama","2","500","100500","G01000500","Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast)"
"1","Alabama","2","700","100700","G01000700","Cullman & Winston Counties"
"1","Alabama","3","400","100400","G01000400","DeKalb & Jackson Counties"
"1","Alabama","4","600","100600","G01000600","Morgan & Lawrence Counties--Decatur City"
"1","Alabama","5","900","100900","G01000900","Etowah County"
"1","Alabama","6","1000","101000","G01001000","Talladega, Cherokee, Randolph, Cleburne & Clay Counties"
"1","Alabama","7","1100","101100","G01001100","Calhoun County"
"1","Alabama","8","1200","101200","G01001200","Shelby County"
"1","Alabama","9","1301","101301","G01001301","Birmingham City (West)"
"1","Alabama","10","1302","101302","G01001302","Birmingham City (East)"
"1","Alabama","10","1304","101304","G01001304","Jefferson County (Northeast)--Trussville, Center Point & Gardendale Cities"
"1","Alabama","11","1303","101303","G01001303","Jefferson County (Southeast)--Hoover (North), Vestavia Hills & Homewood Cities"
"1","Alabama","12","1305","101305","G01001305","Jefferson County (West)--Bessemer, Hueytown & Pleasant Grove Cities"
"1","Alabama","13","1800","101800","G01001800","Chilton, Tallapoosa, Chambers & Coosa Counties"
"1","Alabama","14","1900","101900","G01001900","Lee County--Auburn City"
"1","Alabama","15","2000","102000","G01002000","Montgomery City & Pike Road Town (North)"
"1","Alabama","15","2100","102100","G01002100","Elmore, Autauga, Montgomery (Outer) & Lowndes Counties"
"1","Alabama","15","2200","102200","G01002200","Southwest Alabama"
"1","Alabama","16","2300","102300","G01002300","Coffee, Covington, Butler & Crenshaw Counties"
"1","Alabama","16","2400","102400","G01002400","Russell, Pike, Barbour, Macon & Bullock Counties"
"1","Alabama","16","2500","102500","G01002500","Houston, Dale, Geneva & Henry Counties--Dothan City"
"1","Alabama","17","2600","102600","G01002600","Baldwin County"
"1","Alabama","18","2701","102701","G01002701","Mobile City (East)"
"1","Alabama","18","2702","102702","G01002702","Mobile City (West)"
"1","Alabama","18","2703","102703","G01002703","Mobile County (Outer)--Prichard City, Tillmans Corner & Saraland City"
"2","Alaska","19","101","200101","G02000101","Anchorage Municipality (North)"
"2","Alaska","20","102","200102","G02000102","Anchorage Municipality (South)"
"2","Alaska","21","200","200200","G02000200","Matanuska-Susitna & Kenai Peninsula Boroughs"
"2","Alaska","22","300","200300","G02000300","Greater Fairbanks, Greater Juneau, Ketchikan Gateway Borough & Road-Connected Alaska"
"2","Alaska","22","400","200400","G02000400","Subsistence Alaska"
"4","Arizona","23","100","400100","G04000100","Maricopa County--Gilbert (South) & Queen Creek Towns"
"4","Arizona","23","105","400105","G04000105","Maricopa County--Gilbert Town (North)"
"4","Arizona","23","106","400106","G04000106","Maricopa County--Chandler City (Northeast)"
"4","Arizona","23","107","400107","G04000107","Maricopa County--Chandler City (South)"
"4","Arizona","23","108","400108","G04000108","Maricopa County--Tempe (South) & Chandler (Northwest) Cities"
"4","Arizona","23","109","400109","G04000109","Maricopa County--Tempe City (North)"
"4","Arizona","24","101","400101","G04000101","Maricopa County--Mesa City (East)"
"4","Arizona","24","102","400102","G04000102","Maricopa County--Mesa City (North Central)"
"4","Arizona","24","103","400103","G04000103","Maricopa County--Mesa City (West)"
"4","Arizona","24","104","400104","G04000104","Maricopa County--Mesa City (South Central)"
"4","Arizona","25","110","400110","G04000110","Maricopa County--Scottsdale City (Southwest) & Paradise Valley Town"
"4","Arizona","25","111","400111","G04000111","Maricopa County (Northeast)--Scottsdale City (Southeast) & Fountain Hills Town"
"4","Arizona","25","112","400112","G04000112","Maricopa County--Scottsdale (North), Phoenix (Far Northeast) Cities & Cave Creek"
"4","Arizona","25","113","400113","G04000113","Phoenix City (Northeast)"
"4","Arizona","25","114","400114","G04000114","Phoenix City (Northeast Central)"
"4","Arizona","25","115","400115","G04000115","Phoenix City (Northwest Central)"
"4","Arizona","25","116","400116","G04000116","Phoenix City (Uptown)"
"4","Arizona","25","117","400117","G04000117","Phoenix City (East)"
"4","Arizona","25","118","400118","G04000118","Phoenix City--Downtown & Sky Harbor International Airport"
"4","Arizona","25","119","400119","G04000119","Phoenix City (South)"
"4","Arizona","25","120","400120","G04000120","Phoenix City--Ahwatukee & South Mountain"
"4","Arizona","25","121","400121","G04000121","Phoenix (Southwest) & Tolleson Cities"
"4","Arizona","25","122","400122","G04000122","Phoenix City--Maryvale (East)"
"4","Arizona","25","123","400123","G04000123","Phoenix City--Maryvale (West)"
"4","Arizona","25","124","400124","G04000124","Maricopa County--Glendale City (South)"
"4","Arizona","25","125","400125","G04000125","Phoenix City (West)"
"4","Arizona","25","126","400126","G04000126","Maricopa County--Glendale City (North)"
"4","Arizona","25","127","400127","G04000127","Maricopa County--Peoria City (South & Central)"
"4","Arizona","25","128","400128","G04000128","Phoenix City (North)"
"4","Arizona","25","129","400129","G04000129","Phoenix (Far North) & Peoria (Northwest) Cities"
"4","Arizona","25","130","400130","G04000130","Maricopa County--El Mirage City & Sun City"
"4","Arizona","25","131","400131","G04000131","Maricopa County--Surprise City (Central)"
"4","Arizona","25","132","400132","G04000132","Maricopa County--Goodyear, Glendale (West) & Litchfield Park (Northwest) Cities"
"4","Arizona","25","133","400133","G04000133","Maricopa County--Avondale (Central) & Litchfield Park (Central) Cities"
"4","Arizona","25","134","400134","G04000134","Maricopa County (West) & Gila River Indian Community (Northwest)"
"4","Arizona","26","201","400201","G04000201","Pima County (West)"
"4","Arizona","26","202","400202","G04000202","Tucson (West) & Marana Cities"
"4","Arizona","26","203","400203","G04000203","Pima County (North Central)--Oro Valley Town"
"4","Arizona","26","205","400205","G04000205","Pima County (Southeast)--Tucson City (Far Southeast) & Sahuarita Town"
"4","Arizona","26","206","400206","G04000206","Tucson City (Northeast)"
"4","Arizona","26","207","400207","G04000207","Tucson City (Northwest)"
"4","Arizona","26","208","400208","G04000208","Tucson City (South)"
"4","Arizona","26","209","400209","G04000209","Tucson City (Southeast)"
"4","Arizona","27","204","400204","G04000204","Pima County (Northeast)"
"4","Arizona","28","300","400300","G04000300","Navajo & Apache Counties"
"4","Arizona","29","400","400400","G04000400","Coconino County--Flagstaff City"
"4","Arizona","30","500","400500","G04000500","Yavapai County"
"4","Arizona","31","600","400600","G04000600","Mohave & La Paz Counties--Lake Havasu City"
"4","Arizona","32","700","400700","G04000700","Yuma County--Yuma City"
"4","Arizona","33","800","400800","G04000800","Gila, Graham, Greenlee & Pinal (East) Counties"
"4","Arizona","33","803","400803","G04000803","Pinal County (North)--Apache Junction City"
"4","Arizona","33","805","400805","G04000805","Pinal County (Central)--Florence Town, Eloy (Northeast) & Coolidge Cities"
"4","Arizona","33","807","400807","G04000807","Pinal County (West)--Maricopa, Casa Grande & Eloy (Southeast) Cities"
"4","Arizona","33","900","400900","G04000900","Cochise & Santa Cruz Counties--Sierra Vista City"
"5","Arkansas","34","100","500100","G05000100","Benton County"
"5","Arkansas","35","200","500200","G05000200","Washington County"
"5","Arkansas","36","300","500300","G05000300","Baxter, Boone, Carroll, Marion, Madison, Newton & Searcy Counties"
"5","Arkansas","37","400","500400","G05000400","Independence, Cleburne, Van Buren, Sharp, Izard, Stone & Fulton Counties"
"5","Arkansas","38","500","500500","G05000500","Craighead (West), Greene, Randolph, Lawrence & Clay Counties"
"5","Arkansas","38","600","500600","G05000600","Crittenden, Mississippi & Craighead (East) Counties"
"5","Arkansas","39","700","500700","G05000700","St. Francis, Poinsett, Phillips, Cross, Lee & Monroe Counties"
"5","Arkansas","39","800","500800","G05000800","White, Jackson, Prairie & Woodruff Counties"
"5","Arkansas","40","900","500900","G05000900","Pulaski County (Outer)--North Little Rock, Sherwood & Jacksonville Cities"
"5","Arkansas","40","1000","501000","G05001000","Pulaski County (Central)--Little Rock City"
"5","Arkansas","41","1100","501100","G05001100","Faulkner & Lonoke Counties"
"5","Arkansas","41","1200","501200","G05001200","Saline County"
"5","Arkansas","42","1300","501300","G05001300","Pope, Johnson, Yell, Conway & Perry Counties"
"5","Arkansas","43","1400","501400","G05001400","Sebastian & Crawford Counties"
"5","Arkansas","44","1500","501500","G05001500","Logan, Polk, Franklin, Sevier, Howard & Scott Counties"
"5","Arkansas","45","1600","501600","G05001600","Garland, Hot Spring, Clark & Montgomery Counties"
"5","Arkansas","46","1700","501700","G05001700","Jefferson, Grant & Arkansas (Northwest) Counties"
"5","Arkansas","46","1800","501800","G05001800","Southeast Arkansas"
"5","Arkansas","47","1900","501900","G05001900","South Central Arkansas"
"5","Arkansas","48","2000","502000","G05002000","Southwest Arkansas"
"6","California","49","101","600101","G06000101","Alameda County (North)--Berkeley & Albany Cities"
"6","California","50","102","600102","G06000102","Alameda County (Northwest)--Oakland (Northwest) & Emeryville Cities"
"6","California","51","103","600103","G06000103","Alameda County (Northeast)--Oakland (East) & Piedmont Cities"
"6","California","52","104","600104","G06000104","Alameda County (North Central)--Oakland City (South Central)"
"6","California","53","105","600105","G06000105","Alameda County (West)--San Leandro, Alameda & Oakland (Southwest) Cities"
"6","California","54","106","600106","G06000106","Alameda County (North Central)--Castro Valley, San Lorenzo & Ashland"
"6","California","55","107","600107","G06000107","Alameda County (Central)--Hayward City"
"6","California","56","108","600108","G06000108","Alameda County (Southwest)--Union City, Newark & Fremont (West) Cities"
"6","California","57","109","600109","G06000109","Alameda County (South Central)--Fremont City (East)"
"6","California","58","110","600110","G06000110","Alameda County (East)--Livermore, Pleasanton & Dublin Cities"
"6","California","59","300","600300","G06000300","Alpine, Amador, Calaveras, Inyo, Mariposa, Mono & Tuolumne Counties"
"6","California","60","701","600701","G06000701","Butte County (Northwest)--Chico City"
"6","California","60","702","600702","G06000702","Butte County (Southeast)--Oroville City & Paradise Town"
"6","California","61","1100","601100","G06001100","Colusa, Glenn, Tehama & Trinity Counties"
"6","California","62","1301","601301","G06001301","Contra Costa County (Far Southwest)--Richmond (Southwest) & San Pablo Cities"
"6","California","62","1302","601302","G06001302","Contra Costa County (Far Northwest)--Richmond (North), Hercules & El Cerrito Cites"
"6","California","62","1303","601303","G06001303","Contra Costa County (Northwest)--Concord (West), Martinez & Pleasant Hill Cities"
"6","California","62","1304","601304","G06001304","Contra Costa County--Walnut Creek (West), Lafayette, Orinda Cities & Moraga Town"
"6","California","62","1305","601305","G06001305","Contra Costa County (South)--San Ramon City & Danville Town"
"6","California","62","1306","601306","G06001306","Contra Costa County (Central)--Concord (South), Walnut Creek (East) & Clayton Cities"
"6","California","62","1307","601307","G06001307","Contra Costa County (North Central)--Pittsburg & Concord (North & East) Cities"
"6","California","62","1308","601308","G06001308","Contra Costa County (Northeast)--Antioch City"
"6","California","62","1309","601309","G06001309","Contra Costa County (East)--Brentwood & Oakley Cities"
